"HR  [1/9110]+ ""Bright Star"" 
","HD        [1/225300] Henry Draper"" catalog",RA degre,Dec (degre),"Vmag
Mag",couleur,,,,,,,,,,,,,,,,
3,28,"6,25","-5,7075",4.61,Red,,,,,,,,,,,,,,,,
15,358,10,"29,0905555555556",2.06,Light blue,,,,,,,,,,,,,,,,
21,432,"11,25","59,1497222222222",2.27,yellow,,,,,,,,,,,,,,,,
25,496,"11,25","-45,7475",3.87,Red,,,,,,,,,,,,,,,,
33,693,"13,75","-15,4680555555556",4.89,Red,,,,,,,,,,,,,,,,
39,886,"16,25","15,1836111111111",2.84,Light blue,,,,,,,,,,,,,,,,
45,1013,"17,5","20,2066666666667",4.8,Red,,,,,,,,,,,,,,,,
48,1038,"17,5","-18,9327777777778",4.46,Red,,,,,,,,,,,,,,,,
63,1280,"21,25","38,6816666666667",4.61,yellow,,,,,,,,,,,,,,,,
68,1404,"22,5","36,7852777777778",4.52,yellow,,,,,,,,,,,,,,,,
74,1522,"23,75","-8,82388888888889",3.55,Red,,,,,,,,,,,,,,,,
77,1581,25,"-64,875",4.23,yellow,,,,,,,,,,,,,,,,
98,2151,"31,25","-77,2544444444444",2.79,yellow,,,,,,,,,,,,,,,,
99,2261,"32,5","-42,3061111111111",2.38,Red,,,,,,,,,,,,,,,,
100,2262,"32,5","-43,68",3.93,yellow,,,,,,,,,,,,,,,,
105,2429,"33,75","-33,0072222222222",4.81,Red,,,,,,,,,,,,,,,,
123,2772,"38,75","54,5222222222222",4.73,Light blue,,,,,,,,,,,,,,,,
125,2834,"38,75","-48,8036111111111",4.77,Red,,,,,,,,,,,,,,,,
126,2884,"38,75","-62,9583333333333",4.37,Light blue,,,,,,,,,,,,,,,,
127,2885,"38,75","-62,9658333333333",4.54,yellow,,,,,,,,,,,,,,,,
130,2905,40,"62,9319444444444",4.16,Light blue,,,,,,,,,,,,,,,,
153,3360,45,"53,8969444444444",3.66,Light blue,,,,,,,,,,,,,,,,
154,3369,45,"33,7194444444444",4.36,Light blue,,,,,,,,,,,,,,,,
163,3546,"47,5","29,3119444444444",4.38,Red,,,,,,,,,,,,,,,,
165,3627,"48,75","30,8611111111111",3.28,Red,,,,,,,,,,,,,,,,
168,3712,50,"56,5375",2.23,Red,,,,,,,,,,,,,,,,
179,3901,"52,5","50,5125",4.81,Light blue,,,,,,,,,,,,,,,,
180,3919,"51,25","-46,085",4.59,Red,,,,,,,,,,,,,,,,
184,4058,"53,75","47,0247222222222",4.94,Red,,,,,,,,,,,,,,,,
188,4128,"53,75","-17,9866666666667",2.01,Red,,,,,,,,,,,,,,,,
191,4150,"53,75","-57,4630555555556",4.36,yellow,,,,,,,,,,,,,,,,
193,4180,55,"48,2844444444444",4.5,Light blue,,,,,,,,,,,,,,,,
194,4188,55,"-10,6094444444444",4.75,Red,,,,,,,,,,,,,,,,
215,4502,"58,75","24,2672222222222",4.06,Red,,,,,,,,,,,,,,,,
219,4614,"61,25","57,8161111111111",3.44,yellow,,,,,,,,,,,,,,,,
223,,60,"50,9683333333333",4.89,Red,,,,,,,,,,,,,,,,
224,,60,"7,585",4.44,Red,,,,,,,,,,,,,,,,
226,4727,"61,25","41,0788888888889",4.53,Light blue,,,,,,,,,,,,,,,,
244,4636,"66,25","61,1241666666667",4.8,yellow,,,,,,,,,,,"6,25",,,,,
248,4656,"66,25","-1,14444444444444",4.76,Red,,,,,,,,,,,10,,,,,
253,5234,"68,75","58,9727777777778",4.84,Red,,,,,,,,,,,"11,25",,,,,
264,5394,70,"60,7166666666667",2.47,Light blue,,,,,,,,,,,"11,25",,,,,
265,5395,70,"59,1811111111111",4.64,Red,,,,,,,,,,,"13,75",,,,,
269,5448,70,"38,4994444444444",3.87,yellow,,,,,,,,,,,"16,25",,,,,
271,5516,"71,25","23,4177777777778",4.42,Red,,,,,,,,,,,"17,5",,,,,
280,5737,"72,5","-29,3577777777778",4.27,Light blue,,,,,,,,,,,"17,5",,,,,
285,5848,25,"86,2572222222222",4.26,Red,,,,,,,,,,,"21,25",,,,,
294,6186,"17,5","7,89",4.28,Red,,,,,,,,,,,"22,5",,,,,
322,6595,"22,5","-46,7188888888889",3.3,Red,,,,,,,,,,,"23,75",,,,,
334,6805,25,"-10,1822222222222",3.44,Red,,,,,,,,,,,25,,,,,
335,6811,"26,25","47,2419444444444",4.25,Light blue,,,,,,,,,,,"31,25",,,,,
337,6860,"26,25","35,6205555555556",2.05,Red,,,,,,,,,,,"32,5",,,,,
338,6882,25,"-55,2458333333333",3.92,Light blue,,,,,,,,,,,"32,5",,,,,
343,6961,"28,75","55,15",4.34,yellow,,,,,,,,,,,"33,75",,,,,
351,7087,"28,75","21,0347222222222",4.66,Red,,,,,,,,,,,"38,75",,,,,
352,7106,"28,75","30,0897222222222",4.51,Red,,,,,,,,,,,"38,75",,,,,
360,7318,"31,25","24,5836111111111",4.66,Red,,,,,,,,,,,"38,75",,,,,
370,7570,"33,75","-45,5316666666667",4.96,yellow,,,,,,,,,,,"38,75",,,,,
377,7788,"33,75","-68,8761111111111",4.86,yellow,,,,,,,,,,,40,,,,,
382,7927,40,"58,2316666666667",4.99,Red,,,,,,,,,,,45,,,,,
383,7964,"38,75","27,2641666666667",4.76,yellow,,,,,,,,,,,45,,,,,
390,8207,"42,5","45,5288888888889",4.9,Red,,,,,,,,,,,"47,5",,,,,
399,8491,"46,25","68,13",4.74,Red,,,,,,,,,,,"48,75",,,,,
402,8512,45,"-8,18361111111111",3.59,Red,,,,,,,,,,,50,,,,,
403,8538,"46,25","60,2352777777778",2.68,yellow,,,,,,,,,,,"52,5",,,,,
412,8705,"46,25","-14,5988888888889",4.9,Red,,,,,,,,,,,"51,25",,,,,
417,8799,"48,75","45,4069444444444",4.82,yellow,,,,,,,,,,,"53,75",,,,,
424,8890,"68,75","89,2641666666667",2.02,yellow,,,,,,,,,,,"53,75",,,,,
429,9053,50,"-43,3183333333333",3.41,Red,,,,,,,,,,,"53,75",,,,,
434,9138,"52,5","6,14388888888889",4.84,Red,,,,,,,,,,,55,,,,,
437,9270,"53,75","15,3458333333333",3.62,Red,,,,,,,,,,,55,,,,,
440,9362,"53,75","-49,0727777777778",3.95,Red,,,,,,,,,,,"58,75",,,,,
442,9408,"56,25","59,2322222222222",4.72,Red,,,,,,,,,,,"61,25",,,,,
458,9826,60,"41,4055555555556",4.1,yellow,,,,,,,,,,,60,,,,,
464,9927,"61,25","48,6283333333333",3.57,Red,,,,,,,,,,,60,,,,,
469,10072,"63,75","44,3861111111111",4.98,Red,,,,,,,,,,,"61,25",,,,,
472,10144,"61,25","-57,2366666666667",0.46,Light blue,,,,,,,,,,,"66,25",,,,,
477,10205,65,"40,5769444444445",4.94,Light blue,,,,,,,,,,,"66,25",,,,,
483,10307,"66,25","42,6136111111111",4.96,yellow,,,,,,,,,,,"68,75",,,,,
489,10380,"66,25","5,4875",4.44,Red,,,,,,,,,,,70,,,,,
